Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
555,780,11600201,CASABLANCA AIN SEBAA PLAGE    ,1,,-7.535739,33.619705
1028,780,11600195,CASABLANCA AL AMAL,1,,-7.514559,33.605864
975,780,1600729,CASABLANCA AL AZHAR,1,,-7.4842001,33.6008676
499,780,11600013,CASA AIN SBAA AL HADIKA       ,1,,-7.5319467,33.6031976
1023,780,11600190,CASA AL MOUSTAKBAL,1,,-7.64969,33.52714
1035,780,11600266,CASABLANCA ALANDALOUS,1,,-7.498820,33.589848
963,780,11600050,CASABLANCA ANASSI,1,,-7.4991449,33.5945039
496,780,1600549,CASA BACHKOU                  ,1,,-7.627379,33.5573374
538,780,11600024,CASABLANCA BANDOENG           ,1,,-7.6072437,33.5925543
538,780,11600025,CASABLANCA BANDOENG           ,1,,-7.6072437,33.5925543
495,780,1600810,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
578,780,1600439,CASABLANCA ABDELMOUMEN        ,1,,-7.625316,33.577666
500,780,11600002,CASA EMILE ZOLA               ,1,,-7.593441,33.595658
1025,780,1600891,CASABLANCA BOULEVARD ESSMARA,1,,-7.59194,33.53864
571,780,1600393,CASABLANCA AVENUE M6          ,1,,-7.5959033,33.5652272
541,780,1600574,CASABLANCA SIDI BERNOUSSI     ,1,,-7.509783,33.610549
541,780,11600200,CASABLANCA SIDI BERNOUSSI     ,1,,-7.509783,33.610549
519,780,11600089,CASABLANCA BOURGOGNE          ,1,,-7.6373502,33.5950868
521,780,1600650,CASABLANCA BOURSE             ,1,,-7.6132478,33.5945081
539,780,1600730,CASABLANCA BOUSMARA           ,1,,-7.6154539,33.6001739
556,780,1600717,CASABLANCA DAR LAMANE         ,1,,-7.5585723,33.5932871
552,780,1600728,CASABLANCA DERB GHELLEF       ,1,,-7.6310765,33.5697025
552,780,11600081,CASABLANCA DERB GHELLEF       ,1,,-7.6310765,33.5697025
523,780,1600713,CASABLANCA DERB SIDNA         ,1,,-7.604481,33.5766516
