Code guichet,empty,Code localité,id,Code commune,GUICHETS ,ENTREPRISES  TPE Nombre,ENTREPRISES  TPE Montant,ENTREPRISES PME Nombre,ENTREPRISES PME Montant,ENTREPRISES  GE  (*) Nombre,ENTREPRISES  GE  (*) Montant,ENTREPRISES Entrepreneurs individuels Nombre,ENTREPRISES  Entrepreneurs individuels Montant,ENTREPRISES  Total Nombre,ENTREPRISES  Total Montant,PARTICULIERS Nombre,PARTICULIERS Montant,Code GPS X,Code GPS X2
0192,,381,192,,AGUELMUS                      ,,,,,,,,,,, 20   , 495   ,-5.844335,33.158546
0193,,382,193,,KAF NSOUR                     ,,,,,,,,,,, -     , -     ,-5.960928,32.912725
0194,,380,194,,TIGHASSALINE                  ,,,,,,,,,,, 38   ," 1,045   ",-5.656862,32.782404
0195,,380,195,,SIDI YAHYA OU SAAD            ,,,,,,,,,,, -     , -     ,-5.575513,32.681703
0196,,380,196,,SOUK HAD BOUHSOUSSEN          ,,,,,,,,,,, 1   , 1   ,-6.076217,33.147235
0197,,380,197,,OUAOUMANA                     ,,,,,,,,,,, 8   , 104   ,-5.809316,32.709347
0198,,561,198,,TILOUINE                      ,,,,,,,,,,, -     , -     ,-4.798614,31.640478
0199,,210,199,,ERRACHIDIA PRINCIPAL          ,,,,,,,,,,, 895   ," 24,524   ",-4.4252104,31.9331753
0200,,210,200,,P.A.FAR ERRACHIDIA            ,,,,,,,,,,, 15   , 445   ,-4.431331,31.927735
0201,,210,201,,ERRACHIDIA OULED EL HAJ       ,,,,,,,,,,, 30   , 495   ,-4.4046968,31.9364463
0202,,212,202,,BOUDENIB                      ,,,,,,,,,,, 84   ," 1,062   ",-3.603698,31.948184
0203,,223,203,,GOULMIMA                      ,,,,,,,,,,, 60   ," 2,017   ",-4.954472,31.690632
0204,,315,204,,BENI TAJJITE                  ,,,,,,,,,,, 4   , 193   ,-3.467978,32.293008
0205,,226,205,,TINEJEDAD                     ,,,,,,,,,,, 49   ," 2,533   ",-5.029775,31.510373
0206,,215,206,,ASSOUL                        ,,,,,,,,,,, -     , -     ,-5.207951,31.948735
0207,,210,207,,ERRACHIDIA BOUTALAMINE        ,,,,,,,,,,, 477   ," 20,090   ",-4.4395548,31.9199992
0208,,210,208,,TADIGHOUST                    ,,,,,,,,,,, -     , -     ,-4.960017,31.819199
0209,,225,209,,MELLAB                        ,,,,,,,,,,, -     , -     ,-4.851915,31.54661
0210,,321,210,,ASRIR OUED FERKLA             ,,,,,,,,,,, -     , -     ,-5.067433,31.500094
0211,,391,211,,MIDELT                        ,,,,,,,,,,, 386   ," 13,159   ",-4.7394177,32.6783414
0212,,389,212,,ZAIDA                         ,,,,,,,,,,, -     , -     ,-4.958190,32.816006
0213,,391,213,,MIDELT SOUK EL HAD            ,,,,,,,,,,, 1   , 10   ,-4.7370279,32.6967078
0214,,391,214,,MIDELT IKHERMJIOUEN           ,,,,,,,,,,, 2   , 35   ,-4.750299,32.674079
0215,,391,215,,MIDELT MIMLAL                 ,,,,,,,,,,, 7   , 130   ,-4.748143,32.6895478
0216,,387,216,,KERROUCHEN                    ,,,,,,,,,,, -     , -     ,-5.319875,32.796618
0217,,397,217,,TOUNFITE                      ,,,,,,,,,,, 5   , 98   ,-5.250116,32.46535
0218,,396,218,,ITZER                         ,,,,,,,,,,, -     , -     ,-5.051233,32.879191
